,state,2013
0,Alabama,169281
1,Alaska,46463
2,Arizona,304044
3,Arkansas,124069
4,California,1825475
5,Colorado,250316
6,Connecticut,143902
7,Delaware,38451
8,District of Columbia,17512
9,Florida,786821
10,Georgia,442364
11,Hawaii,90503
12,Idaho,66598
13,Illinois,498666
14,Indiana,262198
15,Iowa,133035
16,Kansas,126485
17,Kentucky,178557
18,Louisiana,191473
19,Maine,66835
20,Maryland,266301
21,Massachusetts,247588
22,Michigan,375096
23,Minnesota,237915
24,Mississippi,122009
25,Missouri,255440
26,Montana,48007
27,Nebraska,88899
28,Nevada,131418
29,New Hampshire,55129
30,New Jersey,333065
31,New Mexico,90993
32,New York,622538
33,North Carolina,436173
34,North Dakota,39143
35,Ohio,408204
36,Oklahoma,165349
37,Oregon,178949
38,Pennsylvania,489849
39,Rhode Island,40577
40,South Carolina,185108
41,South Dakota,39307
42,Tennessee,260803
43,Texas,1278630
44,Utah,154880
45,Vermont,30645
46,Virginia,376679
47,Washington,322660
48,West Virginia,79513
49,Wisconsin,231596
50,Wyoming,31509
51,Puerto Rico,90486
