,state,2016
0,Florida,7221118
1,Georgia,3714350
2,Hawaii,474495
3,Idaho,597208
4,Illinois,4483475
5,Indiana,2586064
6,Iowa,1286536
7,Kansas,1168600
8,Kentucky,1582234
9,Louisiana,1657170
10,Maine,511012
11,Maryland,2247708
12,Massachusetts,2457107
13,Michigan,3700498
14,Minnesota,2232605
15,Mississippi,1027773
16,Missouri,2340513
17,Montana,377028
18,Nebraska,799206
19,Nevada,1068116
20,New Hampshire,562580
21,New Jersey,3063948
22,New Mexico,702110
23,New York,4888039
24,North Carolina,3763121
25,North Dakota,325505
26,Ohio,4515268
27,Oklahoma,1428164
28,Oregon,1374404
29,Pennsylvania,4550927
30,Rhode Island,409729
31,South Carolina,1829675
32,South Dakota,343633
33,Tennessee,2489612
34,Texas,10294898
35,Utah,1088520
36,Vermont,240282
37,Virginia,3192485
38,Washington,2492872
39,West Virginia,591965
40,Wisconsin,2353462
41,Wyoming,221126
42,Puerto Rico,844468
43,Alabama,1768180
44,Alaska,250492
45,Arizona,2289515
46,Arkansas,1050898
47,California,13186177
48,Colorado,2107958
49,Connecticut,1387240
50,Delaware,355814
51,District of Columbia,119642
