,state,2015
0,Alabama,22130
1,Alaska,28801
2,Arizona,60638
3,Arkansas,22033
4,California,474323
5,Colorado,77861
6,Connecticut,52826
7,Delaware,9655
8,District of Columbia,50165
9,Florida,126149
10,Georgia,69170
11,Hawaii,29047
12,Idaho,23518
13,Illinois,185404
14,Indiana,69969
15,Iowa,54044
16,Kansas,32791
17,Kentucky,46953
18,Louisiana,41099
19,Maine,24332
20,Maryland,77065
21,Massachusetts,173988
22,Michigan,102456
23,Minnesota,77518
24,Mississippi,17702
25,Missouri,53818
26,Montana,27183
27,Nebraska,27685
28,Nevada,28644
29,New Hampshire,19112
30,New Jersey,140033
31,New Mexico,20033
32,New York,583151
33,North Carolina,79234
34,North Dakota,15532
35,Ohio,127226
36,Oklahoma,30382
37,Oregon,69658
38,Pennsylvania,232461
39,Rhode Island,18987
40,South Carolina,43809
41,South Dakota,13448
42,Tennessee,36170
43,Texas,195341
44,Utah,38820
45,Vermont,18611
46,Virginia,96587
47,Washington,123485
48,West Virginia,19763
49,Wisconsin,92030
50,Wyoming,13285
51,Puerto Rico,30421
